Project Number	Project Name	Project Address	Project Path
1802002.000	JUNIOR SCHOOL PROJECTS 2,3,4,5 & 9B	CNR NEW SOUTH HEAD ROAD & VAUCLUSE RD, VAUCLUSE NSW 2030	\\bvn\data\projects\18\1802002.000\Design\BIM\_Revit\003 - Junior School\1.0 Project Files\1802002_AR_JS_BUILDING_R22.rvt
Id	Type	Category	ConceptFlag	Length	Area	Volume	Workset	Family	Phase Created	Phase Demolished
3404677	Concept_200mm	Walls	True	10.4986876640	129.464780459	84.9506433459	30_INTERIOR	Basic Wall	Stage 2/3	None
3406143	Concept_200mm	Walls	True	10.4986876640	129.464780459	84.9506433459	30_INTERIOR	Basic Wall	Stage 2/3	None
3407947	Concept_200mm	Walls	True	7.65890614057	100.742353968	66.1039068031	30_INTERIOR	Basic Wall	Stage 2/3	None
3408032	Glazing_Commercial Suite_AC concept	Walls	True	23.2734625208	306.130321524	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
3594758	Concept_200mm	Walls	True	44.8162729659	366.819445607	240.695174283	50_SITE	Basic Wall	Stage 2/3	None
3914985	FENCE_AC concept 2	Walls	True	3.61307083600	14.2246883307	None	50_SITE	Curtain Wall	Stage 2/3	None
3922507	Concept_50mm	Walls	True	0.863249075495	8.46654377060	1.36609949161	30_INTERIOR	Basic Wall	Stage 2/3	None
3922948	FENCE_AC concept 2	Walls	True	16.7586128603	76.9752559198	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
3922949	FENCE_AC concept 2	Walls	True	5.98441695837	25.9805320093	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
3922950	FENCE_AC concept 2	Walls	True	1.08317975479	4.97523509416	None	30_INTERIOR	Curtain Wall	Stage 2/3	None
4293346	Concept_100mm	Walls	True	36.1928096266	62.2989742643	20.4392960185	30_INTERIOR	Basic Wall	Stage 4/5/9b	None
4293564	Concept_100mm	Walls	True	48.1911487339	75.0632448023	24.6270488197	30_INTERIOR	Basic Wall	Stage 4/5/9b	None
4318874	Concept_200mm	Walls	True	94.8162729659	152.204651632	98.1425763704	30_INTERIOR	Basic Wall	Stage 4/5/9b	None
4318907	Concept_200mm	Walls	True	23.2779035958	35.9754732642	23.1882798964	30_INTERIOR	Basic Wall	Stage 4/5/9b	None
4318953	Concept_200mm	Walls	True	94.8162729659	150.887708156	97.4671734805	30_INTERIOR	Basic Wall	Stage 4/5/9b	None
4320038	Glazing_6.0mm Centre	Walls	False	41.1581364829	243.059861120	None	30_INTERIOR	Curtain Wall	Stage 4/5/9b	None
4320437	Glazing_6.0mm Centre	Walls	False	11.8454683763	69.9535534035	None	30_INTERIOR	Curtain Wall	Stage 4/5/9b	None
4320712	Glazing_6.0mm Centre	Walls	False	52.8536732951	312.127991900	None	30_INTERIOR	Curtain Wall	Stage 4/5/9b	None
4320714	Glazing_6.0mm Centre	Walls	False	11.8725805232	70.1136645070	None	30_INTERIOR	Curtain Wall	Stage 4/5/9b	None
4332093	Glazing_6.0mm Centre	Walls	False	5.26683541991	31.1033587790	None	30_INTERIOR	Curtain Wall	Stage 4/5/9b	None
4332178	Glazing_6.0mm Centre	Walls	False	5.19717910048	30.6920025619	None	30_INTERIOR	Curtain Wall	Stage 4/5/9b	None
4355395	L8c - STUD LINING IMPACT	Walls	False	6.91559202059	52.0061999299	15.1855373811	30_INTERIOR	Basic Wall	Stage 4/5/9b	None
4446596	FENCE_AC concept 2	Walls	True	10.3615351769	50.9918069730	None	50_SITE	Curtain Wall	Stage 2/3	None
4446811	FENCE_AC concept 2	Walls	True	68.1902146372	335.581764947	None	50_SITE	Curtain Wall	Stage 2/3	None
4448417	FENCE_AC concept 2	Walls	True	27.7116058604	136.376013092	None	50_SITE	Curtain Wall	Stage 2/3	None
4668024	FENCE_AC concept 2	Walls	True	19.0287895031	74.9164941067	None	50_SITE	Curtain Wall	Stage 2/3	None
4669856	FENCE_AC concept 2	Walls	True	5.81802274620	59.1728035210	None	50_SITE	Curtain Wall	Stage 2/3	None
4669938	FENCE_AC concept 2	Walls	True	7.89605336303	62.1736485278	None	50_SITE	Curtain Wall	Stage 2/3	None
4839760	FENCE_AC concept 2	Walls	True	11.8766404199	70.1376402753	None	50_SITE	Curtain Wall	Stage 2/3	None
4849859	Concept_200mm	Walls	True	68.1534926143	1498.12467361	983.021439376	50_SITE	Basic Wall	Stage 2/3	None
4861162	FENCE_AC concept 2	Walls	True	4.92125984252	19.3750387501	None	50_SITE	Curtain Wall	Stage 2/3	None
4914760	FENCE_AC concept 2	Walls	True	14.8272647859	58.3750582122	None	50_SITE	Curtain Wall	Stage 2/3	None
4915464	FENCE_AC concept 2	Walls	True	4.6381781303	18.2605438201	None	50_SITE	Curtain Wall	Stage 2/3	None
4915505	FENCE_AC concept 2	Walls	True	4.59317585302	18.0833695001	None	50_SITE	Curtain Wall	Stage 2/3	None
5023421	Concept_450mm	Walls	True	12.9443737002	42.6457826205	62.9612932389	50_SITE	Basic Wall	Stage 2/3	None
5023422	Concept_450mm	Walls	True	10.6627296588	26.2370316407	38.7357750601	50_SITE	Basic Wall	Stage 2/3	None
5023423	Concept_450mm	Walls	True	9.18635170604	28.6320017084	42.2716560656	50_SITE	Basic Wall	Stage 2/3	None
5023424	Concept_450mm	Walls	True	26.4763779528	65.1485677971	96.1839091493	50_SITE	Basic Wall	Stage 2/3	None
5023425	Concept_450mm	Walls	True	8.85826771654	21.7969185938	32.1804900500	50_SITE	Basic Wall	Stage 2/3	None
5023426	Concept_450mm	Walls	True	10.9908136483	27.0443249220	39.9276450620	50_SITE	Basic Wall	Stage 2/3	None
5023427	Concept_450mm	Walls	True	8.85826771654	21.7969185938	32.1804900500	50_SITE	Basic Wall	Stage 2/3	None
5023428	Concept_450mm	Walls	True	27.3950131234	80.8907867816	119.425374185	50_SITE	Basic Wall	Stage 2/3	None
5023429	Concept_450mm	Walls	True	8.85826771654	21.7969185938	32.1804900500	50_SITE	Basic Wall	Stage 2/3	None
5023430	Concept_450mm	Walls	True	10.9251968504	26.8828662657	39.6892710616	50_SITE	Basic Wall	Stage 2/3	None
5023431	Concept_450mm	Walls	True	9.00736582617	22.1637938636	32.7221366096	50_SITE	Basic Wall	Stage 2/3	None
5023432	Concept_450mm	Walls	True	3.82739786843	13.1849336019	19.4659452783	50_SITE	Basic Wall	Stage 2/3	None
5023433	Concept_450mm	Walls	True	4.26509186352	8.67840277347	12.8126025199	50_SITE	Basic Wall	Stage 2/3	None
5023436	Concept_200mm	Walls	True	5.51327133798	18.0881605577	11.8688717570	50_SITE	Basic Wall	Stage 2/3	None
5024213	Concept_300mm	Walls	True	23.2711783473	57.8979035819	56.3603256740	50_SITE	Basic Wall	Stage 2/3	None
5024214	Concept_300mm	Walls	True	15.3994535971	37.9427842189	37.2955511821	50_SITE	Basic Wall	Stage 2/3	None
5024215	Concept_300mm	Walls	True	19.6412944456	49.0605618651	47.5698919927	50_SITE	Basic Wall	Stage 2/3	None
5024216	Concept_300mm	Walls	True	5.44628991290	14.6542361609	14.3821118736	50_SITE	Basic Wall	Stage 2/3	None
5024217	Concept_300mm	Walls	True	5.12338237219	11.4092936359	11.2162717565	50_SITE	Basic Wall	Stage 2/3	None
5024230	Concept_300mm	Walls	True	21.4027224912	53.2810078550	51.8468522933	50_SITE	Basic Wall	Stage 2/3	None
5024231	Concept_300mm	Walls	True	18.0752788417	44.5723177090	43.7760153553	50_SITE	Basic Wall	Stage 2/3	None
5024232	Concept_300mm	Walls	True	19.1109842467	47.8722918966	46.2831455981	50_SITE	Basic Wall	Stage 2/3	None
5024233	Concept_300mm	Walls	True	6.43884532761	17.1559518804	16.7898351844	50_SITE	Basic Wall	Stage 2/3	None
5024234	Concept_300mm	Walls	True	4.66719178430	10.3668540099	10.1076522410	50_SITE	Basic Wall	Stage 2/3	None
5024259	Concept_300mm	Walls	True	5.02594557806	12.4788386385	12.1716667688	50_SITE	Basic Wall	Stage 2/3	None
